timestamp,node,raw_line
06:42:20.565,S1,[RX] POLL:1 | RSSI: -59 dBm | SNR: 9.00 dB | RX#: 9
06:42:20.574,S1,[TX] S1:DATA:9
06:42:20.595,S1,[IGNORE] POLL:2
06:42:20.605,MASTER,[RX] S1:DATA:9 | RSSI: -41 dBm | SNR: 9.25 dB
06:42:20.606,MASTER,[TX] POLL:2
06:42:20.640,S1,[IGNORE] S2:DATA:9
06:42:20.642,S2,[RX] POLL:2 | RSSI: -69 dBm | SNR: 9.50 dB | RX#: 9
06:42:20.651,S2,[TX] S2:DATA:9
06:42:20.684,MASTER,[RX] S2:DATA:9 | RSSI: -65 dBm | SNR: 12.00 dB
06:42:20.718,MASTER,--- STATISTIK ---
06:42:20.718,MASTER,S1: OK=9 | FAIL=0 | Data: 9
06:42:20.751,MASTER,S2: OK=9 | FAIL=0 | Data: 9
06:42:20.784,MASTER,Durasi siklus: 160 ms
06:42:20.819,MASTER,========================================
06:42:21.310,S2,[IGNORE] POLL:1
06:42:21.315,MASTER,========================================
06:42:21.316,MASTER,=== CYCLE 10 ===
06:42:21.326,MASTER,[TX] POLL:1
06:42:21.357,S1,[RX] POLL:1 | RSSI: -59 dBm | SNR: 9.00 dB | RX#: 10
06:42:21.358,S2,[IGNORE] S1:DATA:10
06:42:21.368,S1,[TX] S1:DATA:10
06:42:21.389,S1,[IGNORE] POLL:2
06:42:21.400,MASTER,[RX] S1:DATA:10 | RSSI: -52 dBm | SNR: 9.50 dB
06:42:21.400,MASTER,[TX] POLL:2
06:42:21.436,S2,[RX] POLL:2 | RSSI: -69 dBm | SNR: 8.75 dB | RX#: 10
06:42:21.437,S1,[IGNORE] S2:DATA:10
06:42:21.446,S2,[TX] S2:DATA:10
06:42:21.480,MASTER,[RX] S2:DATA:10 | RSSI: -65 dBm | SNR: 9.00 dB
06:42:21.513,MASTER,--- STATISTIK ---
06:42:21.546,MASTER,S1: OK=10 | FAIL=0 | Data: 10
06:42:21.581,MASTER,S2: OK=10 | FAIL=0 | Data: 10
06:42:21.582,MASTER,Durasi siklus: 164 ms
06:42:21.617,MASTER,========================================
06:42:22.109,S2,[IGNORE] POLL:1
06:42:22.115,MASTER,========================================
06:42:22.116,MASTER,=== CYCLE 11 ===
06:42:22.126,MASTER,[TX] POLL:1
06:42:22.157,S1,[RX] POLL:1 | RSSI: -36 dBm | SNR: 9.50 dB | RX#: 11
06:42:22.158,S2,[IGNORE] S1:DATA:11
06:42:22.167,S1,[TX] S1:DATA:11
06:42:22.189,S1,[IGNORE] POLL:2
06:42:22.199,MASTER,[RX] S1:DATA:11 | RSSI: -52 dBm | SNR: 9.50 dB
06:42:22.200,MASTER,[TX] POLL:2
06:42:22.235,S2,[RX] POLL:2 | RSSI: -69 dBm | SNR: 9.00 dB | RX#: 11
06:42:22.236,S1,[IGNORE] S2:DATA:11
06:42:22.246,S2,[TX] S2:DATA:11
06:42:22.280,MASTER,[RX] S2:DATA:11 | RSSI: -65 dBm | SNR: 9.25 dB
06:42:22.314,MASTER,--- STATISTIK ---
06:42:22.346,MASTER,S1: OK=11 | FAIL=0 | Data: 11
06:42:22.380,MASTER,S2: OK=11 | FAIL=0 | Data: 11
06:42:22.381,MASTER,Durasi siklus: 165 ms
06:42:22.417,MASTER,========================================
06:42:22.909,S2,[IGNORE] POLL:1
06:42:22.915,MASTER,========================================
06:42:22.916,MASTER,=== CYCLE 12 ===
